Date,Open,High,Low,Close,Volume,Adj Close
2014-11-25,47.66,47.97,47.45,47.47,28007900,47.47
2014-11-24,47.99,48.00,47.39,47.59,35434200,47.59
2014-11-21,49.02,49.05,47.57,47.98,42883100,47.98
2014-11-20,48.00,48.70,47.87,48.70,21500700,48.70
2014-11-19,48.66,48.75,47.93,48.22,26176800,48.22
2014-11-18,49.13,49.33,48.70,48.74,23995500,48.74
2014-11-17,49.41,49.71,49.14,49.46,30315500,49.15
2014-11-14,49.74,50.05,49.39,49.58,29081700,49.27
2014-11-13,48.81,49.65,48.71,49.61,26208800,49.30
2014-11-12,48.56,48.92,48.52,48.78,22722000,48.47
2014-11-11,48.85,48.95,48.65,48.87,23445200,48.56
2014-11-10,48.65,49.15,48.55,48.89,36370100,48.58
2014-11-07,48.92,48.92,48.29,48.68,28000600,48.37
2014-11-06,47.86,48.86,47.79,48.70,33037800,48.39
2014-11-05,47.80,47.90,47.26,47.86,22449600,47.56
2014-11-04,47.30,47.73,47.25,47.57,21530800,47.27
2014-11-03,46.89,47.46,46.73,47.44,23130400,47.14
2014-10-31,46.94,46.97,46.48,46.95,35849700,46.66
2014-10-30,46.32,46.32,45.77,46.05,30073900,45.76
2014-10-29,46.44,46.70,46.34,46.62,30276100,46.33
2014-10-28,45.86,46.50,45.77,46.49,29024600,46.20
2014-10-27,45.71,46.10,45.71,45.91,30371300,45.62
2014-10-24,46.83,46.90,45.18,46.13,61076700,45.84
2014-10-23,44.62,45.45,44.53,45.02,45451900,44.74
2014-10-22,45.00,45.07,44.23,44.38,33570900,44.10
2014-10-21,44.36,44.98,44.19,44.88,36433800,44.60
2014-10-20,43.06,44.14,42.81,44.08,34527900,43.80
2014-10-17,43.20,43.94,42.79,43.63,40683300,43.36
2014-10-16,42.53,43.08,42.22,42.74,49040400,42.47
2014-10-15,43.00,43.39,42.10,43.22,60218700,42.95
2014-10-14,43.87,44.38,43.56,43.73,38115700,43.46
2014-10-13,43.82,44.56,43.49,43.65,37100200,43.38
2014-10-10,45.60,46.12,43.95,44.03,51978100,43.75
2014-10-09,46.50,46.80,45.74,45.85,34422800,45.56
2014-10-08,45.48,46.89,45.34,46.78,33031000,46.49
2014-10-07,45.86,45.93,45.42,45.53,25723700,45.24
2014-10-06,46.12,46.30,45.92,46.09,20604000,45.80
2014-10-03,45.98,46.30,45.61,46.09,32453200,45.80
2014-10-02,45.83,46.10,45.64,45.76,25119400,45.47
2014-10-01,46.27,46.53,45.85,45.90,38088400,45.61
2014-09-30,46.37,46.48,46.01,46.36,33033100,46.07
2014-09-29,45.98,46.56,45.76,46.44,26091000,46.15
2014-09-26,45.93,46.62,45.76,46.41,27078800,46.12
2014-09-25,46.88,47.09,46.03,46.04,33077400,45.75
2014-09-24,46.63,47.11,46.34,47.08,26582700,46.78
2014-09-23,46.85,46.98,46.47,46.56,33430300,46.27
2014-09-22,47.30,47.38,46.98,47.06,38686100,46.77
2014-09-19,46.81,47.57,46.60,47.52,202522400,47.22
2014-09-18,46.59,46.83,46.46,46.68,35556600,46.39
2014-09-17,46.26,46.69,46.23,46.52,38311900,46.23
2014-09-16,46.39,46.85,46.29,46.76,27910600,46.47
2014-09-15,46.54,46.71,46.10,46.24,37667600,45.95
2014-09-12,46.91,47.02,46.60,46.70,38244700,46.41
2014-09-11,46.74,47.00,46.47,47.00,29216400,46.71
2014-09-10,46.82,46.94,46.28,46.84,27302400,46.55
2014-09-09,46.47,46.97,46.42,46.76,40302400,46.47
2014-09-08,46.02,46.80,45.99,46.47,45736700,46.18
2014-09-05,45.11,45.93,45.11,45.91,36939400,45.62
2014-09-04,44.74,45.27,44.72,45.26,26475500,44.98
2014-09-03,44.53,45.11,44.53,44.96,33684500,44.68
2014-09-02,45.43,45.46,44.85,45.09,22976800,44.81
